AreaOfInterestID,longitude,latitude,AreaOfInterest
17,-81.36379,27.34178,"Apthorpe, Lake"
114,-81.442572,27.51632,Dinner Lake
382,-81.681186,29.324448,Salt Springs Run
316,-81.402733,29.11315,Nelson Springs Run
391,-81.48164,27.53303,"Sebring, Lake"
353,-81.365051,27.242106,"Placid, Lake"
139,-81.628333,28.095278,Eva Lake
364,-81.403674,27.432626,Red Beach Lake
207,-81.38076,28.56468,"Ivanhoe, Lake"
455,-85.89595,30.95002,Victor Lake FMA
624,-81.395917,27.278011,Catfish Creek
264,-82.001356,29.847521,Lowery Lake FMA
271,-82.017769,29.823792,Magnolia Lake FMA
101,-85.641706,30.244081,Davis Lake
62,-81.428601,27.336838,"Carrie, Lake"
83,-81.18224,28.26657,Coon Lake
653,-80.280579,26.838518,Mecca Farms
14,-85.04839,29.7779,Apalachicola River
310,-81.84387,28.1795,Mud Lake
87,-81.77358,28.50601,Crescent Lake
395,-84.92742,30.75494,"Seminole, Lake (Fl Section)"
304,-81.270011,28.840071,"Monroe, Lake"
487,-81.408583,29.10875,"Woodruf, Lake"
424,-87.29097,30.96526,Stone Lake
410,-81.26545,29.040683,South Lake Talmadge
111,-81.48189,29.10663,"Dexter, Lake"
328,-81.90262,29.37922,Ocklawaha River
270,-82.653668,27.738681,"Maggiore, Lake"
668,-82.515936,27.877889,Bobby Hicks Pond
77,-81.548333,27.7425,"Clinch, Lake"
656,-80.287492,26.967101,Hungryland WEA
309,-82.31112,28.47966,Mountain Lake
191,-81.71641,28.94096,Holly Lake
166,-81.345711,30.109604,Guana River
654,-81.881161,29.677683,"Grandin, Lake"
387,-80.263417,27.299341,Savannas Preserve State Park
71,-85.235703,30.819829,Chipola River
659,-80.40733,25.603629,Zoo Miami Lakes
478,-81.62898,29.163122,Wildcat Lake
346,-82.89744,30.2448,Peacock Lake
660,-81.925069,29.113458,Ocklawaha Prairie Restoration Area
26,-81.62325,29.12276,Beakman Lake
98,-81.62157,28.90144,"Dal Housie, Lake"
361,-80.96205,28.60593,Puzzle Lake
2,-81.81951,28.17591,"Agnes, Lake"
612,-85.87886,30.232767,Frank Brown FMA
337,-81.78425,28.55136,"Palatlakaha, Lake"
1,-81.53228,27.64141,"Adelaide, Lake"
99,-81.51056,27.63219,Damon Lake
257,-81.4836,27.57904,"Lotela, Lake"
239,-81.46231,27.56312,Letta Lake
655,-80.32332,25.72708,Tropical Park FMA
72,-86.12329,30.4019,Choctawhatchee River
915,-85.577199,30.314497,Bay County Salvinia Areas
184,-81.38162,27.32314,"Henry, Lake"
657,-86.819371,30.657001,Garnier Creek
48,-81.19618,28.16879,Brick Lake
73,-80.94868,28.61709,Clark Lake
259,-80.92988,28.62734,Loughman Lake
204,-81.47673,27.64894,"Isabell, Lake"
164,-81.61558,29.13517,Grasshopper Lake
862,-82.312738,29.578257,Paynes Prairie
186,-81.130275,26.793506,"Hicpochee, Lake"
144,-81.137381,26.950781,Fisheating Creek
665,-81.768204,26.202898,Airport Pulling Road Canal
428,-81.75782,28.51526,"Susan, Lake"
266,-81.85114,28.60305,"Lucy, Lake"
351,-81.494471,27.622031,Pioneer Lake
456,-81.495859,27.613383,"Viola, Lake"
381,-80.91092,28.65562,Salt Lake
1194,-81.770449,26.272396,Cocohatchee Canal
