PERIMETER,NAME,COUNTY,OBJECTID,SHAPEAREA,SHAPELEN
1383.031176,Sugarbowl Lake,PUTNAM,343,60291.08112,1383.031088
382.7585292,Lake Dot,LAKE,344,11317.75738,382.7581154
1089.282331,Lake Myrtle,LAKE,345,63673.4526,1089.282283
1132.065406,Buck Lake,OSCEOLA,346,65217.56145,1132.065464
1647.630795,Lake of the Woods,LAKE,347,102947.5804,1647.631006
418.5728442,Blue Pond,PUTNAM,348,12809.46756,418.5729986
658.0627862,Black Lake,OSCEOLA,349,30230.65385,658.0630198
967.4061176,Lake Bundy,LAKE,350,59628.51249,967.4065336
135.5057812,Lake Madge,LAKE,351,1341.271912,135.5061084
456.8707276,Lake Serena,POLK,352,16239.30465,456.8704428
984.0789739,North Lake Wales,POLK,353,46879.30563,984.0800119
2726.176846,Lake Sawyer,ORANGE,354,376046.2748,2726.176785
640.2505431,Lake Victor,ORANGE,355,23588.57925,640.2506985
1106.581355,Lake Lily,ORANGE,356,71125.55885,1106.581109
552.1841863,Mud Lake,ORANGE,357,23505.83879,552.1839969
2109.572047,Lake Francis,ORANGE,358,149626.4748,2109.5716
2763.563046,Lake Adelaide,HIGHLANDS,359,389049.6807,2763.56243
4060.871132,Lake Bessie,ORANGE,360,665858.5411,4060.871401
2788.737091,Lake Olympia,ORANGE,361,363169.4761,2788.737748
780.5841031,Peach Lake,ORANGE,362,35820.1293,780.5839179
932.3569057,Lake Maynard,ORANGE,363,58314.04139,932.356897
628.9904666,Lake Cora,ORANGE,364,30055.0371,628.9905083
445.4019309,Sand Lake,LAKE,365,12884.1416,445.402208
370.844366,Lake Jewel,LAKE,366,10256.24892,370.8441961
486.8753014,Mirror Lake,LAKE,367,17343.47047,486.8748716
2959.733098,Dream Pond,PUTNAM,368,305404.5196,2959.733102
1766.544203,Holly Oaks Lake,DUVAL,369,96140.59451,1766.543547
6368.376616,Lake Hellen Blazes,BREVARD,370,992742.499,6368.377471
979.0923529,Lake Addah,ORANGE,371,66932.53793,979.0924885
938.6037992,Bass Lake,LAKE,372,38970.19565,938.6043839
901.2220992,Scrub Jay Pond,LAKE,373,54894.85849,901.222508
978.4080769,Lake Narcissus,DUVAL,374,43108.25837,978.4072467
735.3321309,Lake Helen,POLK,375,38680.32279,735.33217
492.4230601,Lake Genie,ORANGE,376,16644.5208,492.4231522
6288.462092,Crooked Lake,ORANGE,377,433676.1802,6288.462382
546.5958585,Carp Lake,ORANGE,378,19872.01032,546.5958395
1192.871952,Lake Bennet,ORANGE,379,98047.20927,1192.872665
904.2216845,Saint Anne Lake,POLK,380,61077.76531,904.2220372
1727.215301,Lake Ruby,ORANGE,381,227920.5705,1727.215096
1480.56268,Lake Kathryn,LAKE,382,129062.505,1480.562523
1537.726988,Little Gum Lake,POLK,383,111351.6953,1537.726919
1048.455674,Geyer Lake,ORANGE,384,67285.95785,1048.455141
1758.281647,Horseshoe Lake,ORANGE,385,98713.27737,1758.281342
4964.500081,Long Lake,ORANGE,386,480758.3975,4964.501803
716.819251,Tiger Pond,DUVAL,387,12230.19084,716.8196623
192.9067473,Curry Lake,COLLIER,388,2794.02688,192.9064872
1264.244452,Adams Lake,VOLUSIA,389,89985.42063,1264.244598
4971.150392,Lake Mann,ORANGE,390,1069473.685,4971.14849
2171.064212,Fish Lake,LAKE,391,160950.7132,2171.064552
2542.279569,Rattlesnake Lake,ORANGE,392,463859.5025,2542.279954
1362.507811,Lake Lovely,ORANGE,393,86329.96031,1362.507878
3813.527604,Red Water Lake,HIGHLANDS,394,287643.9033,3813.526904
345.0298337,Lake Erin,POLK,395,7725.32374,345.0304514
3181.274253,Millsite Lake,POLK,396,516354.7797,3181.274379
1074.861941,Clear Lake,LAKE,397,83449.04331,1074.861769
1021.412283,Little Lake Jumper,MARION,398,65882.89053,1021.41193
936.0279273,Mud Lake,POLK,399,60501.8996,936.0278381
1031.143687,Lake Beulah,POLK,400,51567.66518,1031.143173
744.0552305,Milly Lake,ORANGE,401,31521.28539,744.0552845
866.9441893,Lake Harry,HIGHLANDS,402,58208.80858,866.9440855
897.7750417,Bear Head Lake,ORANGE,403,62944.36829,897.7750457
762.1727279,Lake Willisara,ORANGE,404,43108.18901,762.1724968
